Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
SHOWROOMPRIVE;FR0013006558;SRP;"Euronext Paris";EUR;1.599;1.617;1.53;1.569;"27/04/2022 17:35";CET;203733;318837.63
SIDETRADE;FR0010202606;ALBFR;"Euronext Growth Paris";EUR;143.50;145.00;142.50;143.00;"27/04/2022 17:29";CET;3754;537590.50
"SIGNAUX GIROD";FR0000060790;ALGIR;"Euronext Growth Paris";EUR;14.60;14.65;14.60;14.65;"27/04/2022 13:46";CET;35;512.70
SII;FR0000074122;SII;"Euronext Paris";EUR;45.00;45.40;44.80;44.80;"27/04/2022 17:35";CET;5980;268454.20
SILC;FR0010679365;MLSIL;"Euronext Access Paris";EUR;0.416;0.416;0.416;0.416;"22/03/2021 16:30";CET;150;62.40
SIMAT;CI0000000832;MLMAT;"Euronext Access Paris";EUR;2.20;2.20;2.20;2.20;"13/11/2019 11:30";CET;10;22.00
SMAIO;FR0014005I80;ALSMA;"Euronext Growth Paris";EUR;4.415;4.52;4.415;4.515;"27/04/2022 12:31";CET;513;2300.19
SMALTO;FR0011131788;MLSML;"Euronext Access Paris";EUR;0.0095;0.0095;0.0095;0.0095;"20/04/2022 16:30";CET;12100;114.95
"SMALTO BSA";FR0010649228;SMLBS;"Euronext Access Paris";EUR;0.04;0.04;0.04;0.04;"27/12/2016 15:30";CET;115298;4611.92
SMCP;FR0013214145;SMCP;"Euronext Paris";EUR;6.40;6.40;6.19;6.24;"27/04/2022 17:35";CET;87427;548636.74
SMTPC;FR0004016699;SMTPC;"Euronext Paris";EUR;27.30;27.60;27.30;27.30;"27/04/2022 17:21";CET;1107;30389.20
"SOC FRANC CASINOS";FR0010209809;SFCA;"Euronext Paris";EUR;1.70;1.70;1.70;1.70;"26/04/2022 12:43";CET;584;992.80
"SOCIETE GENERALE";FR0000130809;GLE;"Euronext Paris";EUR;23.025;23.44;22.715;23.02;"27/04/2022 17:39";CET;3916853;90276361.46
SODEXO;FR0000121220;SW;"Euronext Paris";EUR;72.46;74.18;71.98;72.84;"27/04/2022 17:35";CET;285250;20814255.18
SODITECH;FR0000078321;SEC;"Euronext Paris";EUR;0.90;0.90;0.90;0.90;"27/04/2022 11:30";CET;505;454.50
SOGECLAIR;FR0000065864;SOG;"Euronext Paris";EUR;22.50;22.50;22.30;22.30;"27/04/2022 16:20";CET;41;917.50
SOITEC;FR0013227113;SOI;"Euronext Paris";EUR;154.20;156.25;150.35;153.70;"27/04/2022 17:35";CET;80405;12343335.30
"SOLOCAL GROUP";FR00140006O9;LOCAL;"Euronext Paris";EUR;1.14;1.14;1.074;1.079;"27/04/2022 17:35";CET;313824;344064.17
"SOLUTIONS 30 SE";FR0013379484;S30;"Euronext Paris";EUR;6.502;6.502;6.31;6.342;"27/04/2022 17:37";CET;974444;6206043.09
SOLVAY;BE0003470755;SOLB;"Euronext Brussels, Paris";EUR;87.58;88.04;84.78;87.62;"27/04/2022 17:35";CET;198116;17227194.34
"SOMFY SA";FR0013199916;SO;"Euronext Paris";EUR;130.20;130.20;125.20;126.20;"27/04/2022 17:35";CET;17453;2228607.50
"SOPRA STERIA GROUP";FR0000050809;SOP;"Euronext Paris";EUR;167.30;168.10;162.30;163.50;"27/04/2022 17:35";CET;35903;5897407.60
SPARTOO;FR00140043Y1;ALSPT;"Euronext Growth Paris";EUR;2.00;2.00;1.85;1.90;"27/04/2022 17:38";CET;94394;179163.87
"SPEED RABBIT PIZZA";FR0000054371;MLSRP;"Euronext Access Paris";EUR;5.40;5.40;5.40;5.40;"20/04/2022 11:30";CET;99;534.60
SPIE;FR0012757854;SPIE;"Euronext Paris";EUR;22.14;22.20;21.76;21.98;"27/04/2022 17:35";CET;153353;3369351.68
SPINEGUARD;FR0011464452;ALSGD;"Euronext Growth Paris";EUR;1.05;1.055;1.035;1.049;"27/04/2022 17:27";CET;82730;86332.98
"SPINEGUARD BS";FR0014003UB4;SGDBS;"Euronext Growth Paris";EUR;0.016;0.0188;0.016;0.0188;"27/04/2022 12:55";CET;32400;602.28
SPINEWAY;FR0011398874;ALSPW;"Euronext Growth Paris";EUR;0.0006;0.0006;0.0005;0.0006;"27/04/2022 17:24";CET;25415193;14756.91
SQLI;FR0011289040;SQI;"Euronext Paris";EUR;30.00;30.00;29.20;30.00;"27/04/2022 15:59";CET;270;8091.20
"ST DUPONT";FR0000054199;DPT;"Euronext Paris";EUR;0.138;0.138;0.136;0.1375;"27/04/2022 13:17";CET;2150;292.65
STEF;FR0000064271;STF;"Euronext Paris";EUR;92.50;93.20;91.60;92.20;"27/04/2022 17:35";CET;2159;199602.20
"STELLANTIS NV";NL00150001Q9;STLA;"Euronext Paris";EUR;12.50;12.696;12.09;12.646;"27/04/2022 17:35";CET;4572858;57228787.53
STMICROELECTRONICS;NL0000226223;STM;"Euronext Paris";EUR;35.975;36.00;34.15;35.035;"27/04/2022 17:35";CET;3696209;129266185.01
"STRADIM ESPAC.FIN";FR0000074775;ALSAS;"Euronext Growth Paris";EUR;7.35;7.35;7.35;7.35;"27/04/2022 17:04";CET;616;4527.60
STREAMWIDE;FR0010528059;ALSTW;"Euronext Growth Paris";EUR;21.90;21.90;21.60;21.70;"27/04/2022 17:29";CET;441;9545.20
"STREIT MECANIQUE";FR0000063976;MLSTR;"Euronext Access Paris";EUR;4.86;4.86;4.86;4.86;"27/04/2022 16:30";CET;11;53.46
"SUMO RESOURCES PLC";GB00B8GJBS16;MLSUM;"Euronext Access Paris";EUR;0.014;0.014;0.014;0.014;"26/04/2022 16:59";CET;119678;1675.49
"SWORD GROUP";FR0004180578;SWP;"Euronext Paris";EUR;52.00;52.50;51.10;52.30;"27/04/2022 17:35";CET;22728;1178089.70
SYNERGIE;FR0000032658;SDG;"Euronext Paris";EUR;36.25;36.25;35.70;35.80;"27/04/2022 17:35";CET;1058;37960.35
TARKETT;FR0004188670;TKTT;"Euronext Paris";EUR;12.96;12.96;12.30;12.46;"27/04/2022 17:35";CET;4209;52812.40
TAYNINH;FR0000063307;TAYN;"Euronext Paris";EUR;1.44;1.44;1.44;1.44;"26/04/2022 13:14";CET;2985;4298.40
TEAM;FR0000033466;MLTEA;"Euronext Access Paris";EUR;330.00;330.00;330.00;330.00;"16/03/2022 11:30";CET;1;330.00
"TECH BSA 2024";FR0013526225;TECBS;"Euronext Paris";EUR;0.23;0.23;0.219;0.22;"27/04/2022 16:12";CET;14712;3342.15
TECHNICOLOR;FR0013505062;TCH;"Euronext Paris";EUR;3.116;3.116;3.02;3.02;"27/04/2022 17:35";CET;85280;259910.23
"TECHNIP ENERGIES";NL0014559478;TE;"Euronext Paris";EUR;11.685;11.96;11.62;11.725;"27/04/2022 17:35";CET;494681;5825421.79
TELEPERFORMANCE;FR0000051807;TEP;"Euronext Paris";EUR;341.00;341.20;331.80;334.90;"27/04/2022 17:35";CET;115966;38977429.30
TELEVERBIER;CH0008175645;TVRB;"Euronext Paris";EUR;46.00;46.00;46.00;46.00;"20/04/2022 11:30";CET;25;1150.00
TELEVISTA;FR0011076595;MLVST;"Euronext Access Paris";EUR;3.00;3.00;3.00;3.00;"23/03/2022 16:30";CET;15;45.00
TF1;FR0000054900;TFI;"Euronext Paris";EUR;8.55;8.59;8.295;8.355;"27/04/2022 17:39";CET;464273;3912160.49
"TFF GROUP";FR0013295789;TFF;"Euronext Paris";EUR;29.00;29.80;28.50;28.70;"27/04/2022 17:35";CET;6295;182626.00
THALES;FR0000121329;HO;"Euronext Paris";EUR;123.80;124.55;120.50;122.90;"27/04/2022 17:35";CET;401635;49215779.90
"THE BLOCKCHAIN GP";FR0011053636;ALTBG;"Euronext Growth Paris";EUR;1.234;1.326;1.208;1.31;"27/04/2022 17:35";CET;456273;588051.29
THEBLOCKCHAINGRBS;FR00140065G1;TBGBS;"Euronext Growth Paris";EUR;0.012;0.03;0.012;0.0132;"27/04/2022 17:26";CET;466427;9788.10
THERACLION;FR0010120402;ALTHE;"Euronext Growth Paris";EUR;1.245;1.245;1.185;1.245;"27/04/2022 17:35";CET;20101;24603.47
THERADIAG;FR0004197747;ALTER;"Euronext Growth Paris";EUR;1.94;1.94;1.862;1.92;"27/04/2022 17:26";CET;11937;22727.04
